SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,GPS,GPS,GPS,GPS,GPS,GPS,GPS,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,unique_id,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,degrees,degrees,degrees,degrees,%,degrees,degrees,degrees,degrees,degrees,HHMMSS,YYYYMMDD,degrees,degrees,m,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
4,13:44:33,2024-05-10,DURIN config,Nicole Bison,,26547,,,0.004155,2.917179,0.004149,0.066201,1.335371,1.333505,2.912463,1.577092,13.206580,13.225062,28.844053,0.441786,PSF-00189_20240510134433,0.000000,0.000000,0.000000,87.353111,435.850037,0.799580,0.5,0.80,7.540983,41.38,41.32,25.25,23.54,100.97,156.1,145.5,6.8,24,3.711,9,179,241,,,170.95,67.37,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,13:38:47,2024-05-10,-0.49,-0.000,0.000,-9999.000,0.149,0.535,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.434326,2.497849,1.651079,0.904381,0.270020,-0.018841,0.354802,0.127196,87.353111,0.000428,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510134433,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
5,14:34:33,2024-05-10,DURIN config,Nicole Bison,,28155,,,0.037187,2.917715,0.036719,0.581528,1.440814,1.424449,3.004301,1.563486,14.111036,14.273155,29.761539,0.441786,PSF-00189_20240510143433,0.000000,0.000000,0.000000,81.755875,427.314148,0.808675,0.5,0.80,5.999113,44.52,44.02,25.30,24.05,100.95,156.2,142.6,8.7,19,3.684,5,-178,151,,,174.62,-50.83,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,13:38:47,2024-05-10,-0.49,-0.000,-0.002,-9999.000,0.109,0.192,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438031,2.502475,1.651641,0.897269,0.269532,-0.013357,0.508671,0.122971,81.755875,0.000423,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510143433,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
6,14:38:05,2024-05-10,DURIN config,Nicole Bison,,29706,,,0.028351,2.917302,0.028078,0.458769,1.435551,1.422637,3.048077,1.612526,14.095009,14.222954,30.199316,0.441786,PSF-00189_20240510143805,0.000000,0.000000,0.000000,91.289879,446.884644,0.795719,0.5,0.80,5.891478,44.46,44.06,25.26,24.29,100.93,156.2,142.1,9.0,19,3.680,6,178,120,,,173.68,-41.53,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:03,2024-05-10,-0.57,-0.003,-0.004,-9999.000,0.448,1.282,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438101,2.502512,1.651207,0.896005,0.269947,-0.010073,0.517539,0.122941,91.289879,0.000422,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510143805,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
7,14:41:37,2024-05-10,DURIN config,Nicole Bison,,22209,,,0.029493,2.917055,0.029197,0.471929,1.458249,1.444967,3.053065,1.594816,14.317412,14.449021,30.251207,0.441786,PSF-00189_20240510144137,0.000000,0.000000,0.000000,90.125801,441.476227,0.795854,0.5,0.80,5.771245,45.11,44.70,25.28,24.32,100.92,156.1,140.2,10.2,18,3.645,1,-179,211,,,178.59,-14.00,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:03,2024-05-10,-0.57,-0.001,0.000,-9999.000,0.003,0.009,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438968,2.503456,1.650949,0.891310,0.269725,-0.009997,0.525889,0.122621,90.125801,0.000419,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510144137,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
8,14:45:26,2024-05-10,DURIN config,Nicole Bison,,25315,,,0.362216,2.915753,0.322191,3.474223,1.528977,1.431162,2.595024,1.066047,14.180489,15.149670,25.712463,0.441786,PSF-00189_20240510144526,0.000000,0.000000,0.000000,153.678055,418.367371,0.632672,0.5,0.80,3.545626,47.13,44.11,25.34,21.64,100.92,156.0,152.2,2.4,14,3.642,12,177,108,,,167.64,-57.85,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:03,2024-05-10,-0.57,0.003,0.005,0.016,-0.459,-0.732,-1.215,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438152,2.506382,1.649587,0.921254,0.269072,-0.041782,0.534925,0.119163,153.678055,0.000434,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510144526,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
9,14:48:18,2024-05-10,DURIN config,Nicole Bison,,20107,,,0.008070,2.917212,0.008048,0.129083,1.447451,1.443819,3.030112,1.582661,14.307203,14.343202,30.026230,0.441786,PSF-00189_20240510144818,0.000000,0.000000,0.000000,96.442940,480.670105,0.799357,0.5,0.80,4.737041,44.40,44.29,25.42,24.19,100.92,156.1,145.1,7.1,15,3.670,16,179,104,,,163.97,-72.38,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:45:47,2024-05-10,-0.49,0.002,0.000,-9999.000,0.269,0.573,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438381,2.502271,1.651113,0.903435,0.268218,-0.013143,0.541369,0.119839,96.442940,0.000422,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510144818,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
10,14:51:32,2024-05-10,DURIN config,Nicole Bison,,27059,,,0.020382,2.916449,0.020240,0.324734,1.451956,1.442813,3.034996,1.583039,14.297589,14.388199,30.075367,0.441786,PSF-00189_20240510145132,0.000000,0.000000,0.000000,97.608444,468.566193,0.791687,0.5,0.80,5.809150,44.33,44.05,25.50,24.22,100.91,156.1,135.5,13.2,18,3.666,5,-175,102,,,172.93,-123.11,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:45:47,2024-05-10,-0.49,-0.001,-0.000,-9999.000,0.384,0.775,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438037,2.502148,1.650314,0.879794,0.267372,-0.013769,0.548646,0.122802,97.608444,0.000449,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510145132,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
11,14:54:55,2024-05-10,DURIN config,Nicole Bison,,28395,,,0.096742,2.918632,0.093638,1.228200,1.545058,1.510570,2.839793,1.294735,14.970479,15.312269,28.143719,0.441786,PSF-00189_20240510145455,0.000000,0.000000,0.000000,105.922577,491.973633,0.784699,0.5,0.80,6.188785,47.10,46.05,25.52,23.12,100.90,156.3,131.8,15.7,20,3.633,11,179,121,,,168.96,-53.77,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:45:47,2024-05-10,-0.49,0.003,0.003,-9999.000,0.364,0.941,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.440755,2.506183,1.652603,0.870836,0.267091,-0.026943,0.556021,0.123954,105.922577,0.000446,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510145455,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
12,14:58:37,2024-05-10,DURIN config,Nicole Bison,,28882,,,0.036084,2.916688,0.035643,0.569297,1.564132,1.548125,3.138140,1.574008,15.343659,15.502299,31.102488,0.441786,PSF-00189_20240510145837,0.000000,0.000000,0.000000,93.029381,450.478790,0.793488,0.5,0.80,6.659907,47.38,46.89,25.63,24.78,100.90,156.1,153.0,2.0,21,3.661,4,176,117,,,174.35,-17.93,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:45:47,2024-05-10,-0.49,0.002,-0.001,-0.012,-0.051,-0.177,-0.163,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441876,2.506559,1.650564,0.923377,0.265942,-0.008805,0.564154,0.125017,93.029381,0.000430,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510145837,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
13,15:03:08,2024-05-10,DURIN config,Nicole Bison,,29332,,,0.028590,2.917368,0.028312,0.458972,1.555620,1.542722,3.152988,1.597368,15.291094,15.418933,31.251665,0.441786,PSF-00189_20240510150308,0.000000,0.000000,0.000000,113.839027,448.586212,0.746227,0.5,0.80,5.378314,46.64,46.25,25.80,24.86,100.89,156.2,132.6,15.1,18,3.654,1,177,112,,,176.84,3.58,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:58:58,2024-05-10,-0.54,-0.002,0.001,-9999.000,0.171,1.218,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.440970,2.505516,1.651276,0.872707,0.264120,-0.009929,0.573225,0.122528,113.839027,0.000425,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510150308,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
14,15:06:48,2024-05-10,DURIN config,Nicole Bison,,21991,,,0.050168,2.916182,0.049319,0.757182,1.503401,1.482093,3.017607,1.514205,14.690331,14.901539,29.910166,0.441786,PSF-00189_20240510150648,0.000000,0.000000,0.000000,91.376785,449.961304,0.796923,0.5,0.80,5.941803,44.82,44.18,25.90,24.13,100.89,156.0,155.6,0.3,19,3.653,4,-179,107,,,175.88,-87.05,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:58:58,2024-05-10,-0.54,0.000,-0.001,-9999.000,0.009,0.130,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.438130,2.502840,1.650035,0.929965,0.263116,-0.019682,0.580474,0.123050,91.376785,0.000438,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240510150648,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
